1;1.1.Машиностроительная и обробатывающая промышленость;;;;;;;;
2;;;1.1.1.Тяжелое машиностроение;;;;;;
3;;;;Металлорежущие станки;;;;;
4;;;;;;Металорежащие станки мелкосерийного производства с нормальном режимом работы: мелкие токарные, строгальные, долбежные фрезерные,светлийные, карусельные точильные, ножницы листовые, сортовые, фасонные,скрапные, арматурные;0,12 - 0,14;0,4 - 0,5;
5;;;;;;То же при крупносерийном производстве;0,16;0,5;
6;;;;;;То же при тяжелом режиме работы: штампованные прессы, автоматы, револьверные, обдирочные, зубофрезерные,а так же крупные токарные, строгальные, фрезерные, карусельные и расточные станки;0,17;0,65;
7;;;;;;То же с особо тяжелым режимом работы: приводы молотов, ковочных машин, волочильных станков, очистных барабанов, бегуноа и др;0,2 - 0,24;0,65;
8;;;;;;Шлифовальные станки шарикоподшибниковых заводов;0,2 - 0,35;0,65;
9;;;;;;Автоматические поточные линии обработки металлов;0,5 - 0,6;0,7;
10;;;;;;Механические цехи, многошпиндельные автоматы для изготовлениядеталей из прутков;0,2;0,5 - 0,6;
11;;;;;;Переносной электроинструмент;0,06;0,5;
12;;;;;;Вентиляторы, эксгаустеры, санитарно-гигиеническая вентиляция;0,6 - 0,8;0,8;
13;;;;;;Насосы, компресоры, двигатель-гениратор;0,7;0,85;
14;;;;Подъемно-транспортные механизмы;;;;;
15;;;;;;Элеваторы, транспортеры,шнеки,конвееры несбалонсированные;0,4;0,75;
16;;;;;;То же сбалонсированное;0,55;0,75;
17;;;;;;Краны, телферы при ПВ - 25%;0,05;0,5;
18;;;;;;То же при ПВ - 40%;0,1;0,5;
19;;;;Сварочное оборудование;;;;;
20;;;;;;Сварочные трансформаторы для ручной дуговой сварки и резки металлов;0,3;0,35 - 0,5;
21;;;;;;Сварочные машины шовные;0,25 - 0,35;0,7;
22;;;;;;То же стыковые и точечные;0,25 - 0,36;0,6;
23;;;;;;Сварочные трансформаторы для автоматической и дуговой сварки;0,35;0,5;
24;;;;;;Однопостовые сварочные дизели-генераторы;0,3;0,6;
25;;;;;;Многопостовые сварочные дизели-генераторы;0,5;0,7;
26;;;;;;Машины для сварки трением;0,6;0,8;
27;;;;Электрические печи;;;;;
28;;;;;;Печи сопротивления с непрерывной (автоматической) загрузкой, сушильные шкафы;0,7 - 0,8;0,95;
29;;;;;;То же с периодической закрузкой;0,5;0,85;
30;;;;;;Печи сопротивления с неавтоматической загрузкой изделий;0,5;0,95;
31;;;;;;Мелкие нагревательные приборы;0,6;1;
32;;;;;;Индукционные печи низкой частоты;0,7;0,95;
33;;;;;;Двигатель-генераторы индукционных печей высокой частоты;0,7;0,8;
34;;;;;;Ламповые генераторы индукционых печей высокой частоты;0,7;0,65;
35;;;;;;Тиристорные преоброзователи установок ТВЧ;0,7;0,65;
36;;;;;;Дуговые сталеплавильные печи емкостью от 3 до 10т с автоматическим регулированием электродов для качественных сталей с механизированной загрузкой;0,75;0,9;
37;;;;;;Для качественной сталей без механизированной загрузки;0,6;0,87;
38;;;;;;Для фасонного литья с механизированной загрузкой;0,75;0,9;
39;;;;;;Для фасонного литья без механизированной загрузки;0,65;0,87;
40;;;;;;Дуговые сталеплавильные печи емкостью от 0,5 до 1,5т для фасонного литья (в подсобных цехах с автоматическим регулированием электродов);0,5;0,8;
41;;;;;;Дуговые печи цветного металла (медные сплавы) емкостью от 0,25 до 0,5т с ручным регулированием электродов;0,7;0,75;
42;;;;;;Вспомогательные механизмы дуговых печей и печей сопротивления;0,12;0,65;
43;;;;Насосы, вентиляторы, компрессоры;;;;;
44;;;;;;Насосы, компресоры, двигатель-генираторы;0,7;0,8 - 0,85;
45;;;;;;Вентиляторы, эксгаустеры, вентиляционное оборудование;0,65;0,8;
46;;;;;;Насосы, компрессоры с синхронными электродвигателями;0,7;0,9;
47;;;1.1.2.Сельскохозяйственное машиностроение;;;;;;
48;;;;;;Станки автоматических линий механических цехов;0,3;0,65;
49;;;;;;Станки автоматических линий расчитанные по циклограмме;0,4;0,65;
50;;;;;;Станки автоматический линий тяжелого режима работы расчитанные по циклограмме;0,5;0,65;
51;;;;;;Литейное оборудование: очистные барабаны, бегуны, выбивные решетки, зачистные машины, пескометы, дробеметные камеры и др;0,5;0,65;
52;;;;;;Печи сопротивления с автоматической загрузкой напряжением 380 В;0,7;1;
53;;;;;;Печи сопотивления с автоматической загрузкой с трансформаторами 380/220 В;0,7;0,85;
54;;;;;;Печи сопотивления с неавтоматической загрузкой напряжением 380 В;0,5;1;
55;;;;;;Печи сопотивления с неавтоматической загрузкой с трансформаторами 380/220 В;0,5;0,95;
56;;;;;;Нагреватели гальванических ванн;0,6;1;
57;;;;;;Выпрямители гальванических ванн;0,7;0,8;
58;;;;;;Установки автоматической дуговой сварки, комплектуемые выпрямителями;0,35;0,8;
59;;;;;;Установки ручной дуговой сварки и резки металлов, комплектуемые выпрямителями;0,3;0,8;
60;;;;;;Установки автоматической дуговой сварки, комплектуемые преоброзователями;0,35;0,7;
61;;;;;;Установки ручной дуговой сварки и резки металлов, комплектуемые преоброзователями;0,3;0,7;
62;;;;;;Стенды для испытания узлов и агрегатов без рекуперации электроэнергии в сеть;0,4;0,65;
63;;;;;;Зарядные агрегаты аккумуляторов;0,7;0,65;
64;;;;;;Лаборатороное оборудование, дефектоскопы, испытательные машины и др;0,1;0,5;
65;;;;;;Оборудование вычислительных центров ЭВМ;0,4;0,6;
66;;1.2.Автомобильная промышленность;;;;;;;
67;;;;;;Электродвигатели хорошо загруженных, непрерывно работающих механизмов: вентиляторов, насосов, центрифуг и.т.п;0,6 - 0,65;0,8;
68;;;;;;Электродвигатели индивидуального привода станков нормального режима работы: токарных, фрезерных, сверлийных, карусельных, строгальных, долбежных и.т.п;0,12 - 0,14;0,5 - 0,65;
69;;;;;;То же тяжелого режима работы: зубофрезерных, обдирочных.револьверных автоматов, штаповочных эксцентриковых прессов, станков-автоматов, агрегатных станков и.т.п;0,17 - 0.2;0,65;
70;;;;Автоматические паточные линии;;;;;
71;;;;;;а). механо-обработки;0,3 - 0,4;0,6 - 0,65;
72;;;;;;б). кузнечного производства;0,5 - 0,55;0,7;
73;;;;;;в). прессово-штамповочного производства;0,6;0,7;
74;;;;;;г). сварочного производства;0,4;0,6;
75;;;;;;Электродвигатели повторно-кратковременного режима работы: кранов, тельферов, кран-балок, подъемников, вспомогательных двигателей, роль-гангов, подъемных столов,редукторов для открывания фромуг и.т.п. В механических, сборочных и им подобным цехах для ПВ = 25%;0,06;0,45;
76;;;;;;То же в литейных, кузнечных и им подобных цехах для ПВ = 40%;0,1;0,5;
77;;;;;;Электродвигатели механизмов непрерывного транспорта: транспортеры. Элеватоы, конвееры и.т.п, несбалансированные;0,4;0,7;
78;;;;;;То же сбалонсированные;0,5;0,75;
79;;;;;;Лабораторные нагревательные приборы: автоклавы, сушильные шкафа и.т.п;0,3;0,95;
80;;;;;;Электрические печи сопротивления, нагревательные аппараты, сушильные шкафы, камеры сушки, ванны и.т.п, периодического действия;0,5;0,95;
81;;;;;;То же, непрерывного действия;0,7;0,95;
82;;;;;;Печи индукционные низкой частоты;0,75;0,85;
83;;;;;;Печи индукционные высокой частоты с собственными двигатель-генераторами;0,6;0,7;
84;;;;;;То же, с ламповыми генераторами;0,75;0,8;
85;;;;;;Мотор-генераторы высокой частоты;0,6;0,75;
86;;;;;;Генераторы высокой частоты одномашинные;0,65;0,8;
87;;;;;;Дуговые сталеплавильные печи емкостью от 3 до 10т с автоматическим регулированием электродов для качественных сталей и для фасонного литья с механизированной загрузкой;0,7;0,9;
88;;;;;;То же но без механизированной загрузки;0,55;0,85;
89;;;;;;Дуговые сталеплавильные печи емкостью 0,5 -1,5т для фасонного литья с автоматическим регулированием электродов без механизированной загрузки;0,5;0,8;
90;;;;;;Дуговые печи цветного металла (медные сплавы) емкостью от 0,25 до 0,5т с ручным регулированием электродов без механизированной загрузки;0,5;0,85;
91;;;;;;То же, с механизированной загрузкой непрерывного действия;0,6;0,85;
92;;;;;;"Рудотермические печи с трехфазными трансформаторами 6; 7,5 и 9 мВА";0,7;0,9;
93;;;;;;Нагревательные приборы и аппараты (печи сопротивления) в административно-бытовых и медико-санитарных службах;0,5;0,95;
94;;;;;;Мелкие нагревательные приборы;0,3;0,95;
95;;;;Сварочные трансформаторв дуговой ручной сварки:;;;;;
96;;;;;;однопостовой;0,2;0,35;
97;;;;;;многопостовой;0,3;0,4;
98;;;;;;Сварочные трансформаторы автоматической и полуавтоматической сварки;0,35;0,5;
99;;;;;;Автоматы и машины дуговой сварки;0,4;0,65;
100;;;;;;Сварочные машины шовные;0,25;0,65;
101;;;;;;То же, стыковые и точечные;0,35;0,6;
102;;;;;;Сварочные двигатель-генераторы:;;;
103;;;;;;однопостовые;0,3;0,65;
104;;;;;;многопостовые;0,5;0,75;
105;;;;Дуговая сварка постоянным током с полупроводниковыми выпрямителями ручная:;;;;;
106;;;;;;однопостовая;0,35;0,5;
107;;;;;;многопостовая;0,45;0,5;
108;;;;;;Нагреватели заклепок;0,35;0,55;
109;;;;;;Контактный нагрев под штамповку;0,5;0,65;
110;;;;;;Контактные машины;0,6;0,7;
111;;;;;;Многошпиндельные автоматы для изготовления деталей из прутков;0,2;0,5;
112;;;;;;Шлифовальные станки шарикоподшибниковых заводов;0,3;0,65;
113;;;;;;Испытательные стенды мелкомоторные;0,2;0,65;
114;;;;;;То же, крупномоторные;0,25;0,6;
115;;;;;;Мелкомоторные испытательные лабораторные установки и приборы;0,1;0,5;
116;;;;;;ЭВМ и отчетно-решающие машины;0,15;0,6;
117;;;;;;Устройство электропитания радиотрансляционных узлов, узлов связи и.т.п;0,6;0,75;
118;;;;;;Преобразовательные агрегатных станций, автокар, аккумуляторов автомашин и.т.п;0,5;0,7;
119;;;;;;Выпрямительные устройства гальвано-цехов на полупроводниковых выпрямителях;0,6;0,8;
120;;;;;;Электроосвещение;0,85;0,95;
121;;1.3.Приборостроительная промышленность;;;;;Ки;cosfi;
122;;;;;;Линия изготовления тары из полистиролла;0,6;0,85;
123;;;;;;Машины для сварки полимеров;0,5;1;
124;;;;Подъемно-транспортное оборудование;;;;;
125;;;;;;Краны-штабелеры;1;0,5;
126;;;;;;Стелажи механизированные;0,4;0,75;
127;;;;;;Лифты грузовые;0,2;0,6;
128;;;;;;Лифты пассажирские;0,15;0,55;
129;;;;;;Приводы открывания ворот;0,05;0,75;
130;;;;Термическое оборудование;;;;;
131;;;;;;Установки приготовления защитной атмосферы:;;;
132;;;;;;Нагреватели;0,5;0,85;
133;;;;;;Вентиляторы;0,7;0,8;
134;;;;Окрасочное, моечное и сушильное оборудование:;;;;;
135;;;;;;Установки ультрозвуковой очистки;0,7;0,7;
136;;;;;;Установки моечные с подогревом;0,6;0,7;
137;;;;;;Установки моечные полуавтомат;0,7;0,65;
138;;;;;;Установки сушильные;0,5;0,85;
139;;;;;;Камеры окрасочные механизированные;0,7;0,85;
140;;;;;;Ванна;0,6;0,85;
141;;;;;;Конвееры окрасочные;0,7;0,83;
142;;;;;;Выпрямитель;0,6;0,8;
143;;;;;;Линии гальванопокрытий;0,7;0,8;
144;;;;Установки постоянного тока;;;;;
145;;;;;;Модульные линии;0,65;0,8;
146;;;;;;Линии меднения;0,6;0,9;
147;;;;;;Линии подготовки поверхности;0,65;0,8;
148;;;;;;Линии осветления сплава;0,6;0,85;
149;;;;;;Линии отмывки плат;0,7;0,85;
150;;;;;;Регенератор;0,7;0,8;
151;;;;;;Установки химического травления;0,65;0,85;
152;;;;;;Установки лужения плат;0,6;0,85;
153;;;;;;Модуль проявления;0,65;0,8;
154;;;;;;Модуль окрашивания;0,5;0,65;
155;;;;;;Модуль промывки;0,7;0,85;
156;;;;;;Модуль химического дубления;0,65;0,8;
157;;;;;;Полуавтомат трафарет печати;0,5;0,65;
158;;;;Камера тепла и влаги.;;;;;
159;;;;;;Насос;0,7;0,8;
160;;;;;;Нагрев;0,5;0,85;
161;;;;;;Выпрямитель;0,7;0,8;
162;;;;;;Устройство автоматической загрузки;0,55;0,75;
163;;;;;;Установка механической зачистки;0,12;0,4;
164;;;;;;Установка приготовления эмульсии ;0,7;0,8;
165;;;;;;Термобарокамера. Насос;0,7;0,8;
166;;;;;;Нагрев;0,5;0,85;
167;;;;;;Установка моеч.вибрац.;0,7;0,8;
168;;;;;;Барабан галтовочный;0,5;0,65;
169;;;;;;Ванны;0,6;0,8;
170;;;;;;Смеситель эмульсии;0,3;0,85;
171;;;;;;Фильтр;0,35;0,85;
172;;;;;;Дистиллятор;0,7;0,9;
173;;;;;;Линия транспорт.подвесок;0,55;0,75;
174;;;;;;Ванны;0,5;0,8;
175;;;;;;Модульные линии;0,5;0,8;
176;;;;;;Линии гальванопокрытий;0,5;0,8;
177;;;;;;Установка нанесения фоторезист;0,6;0,85;
178;;;;;;Установка экспонирования;0,6;0,85;
179;;;;;;Установка нанесения сплава;0,6;0,85;
180;;;;;;Установка снятия фоторезиста;0,65;0,8;
181;;;;;;Установка проявления;0,65;0,8;
182;;;;;;Установка травления печ.плат;0,65;0,8;
183;;;;;;Установка оплавления;0,6;0,85;
184;;;;;;Установка струйная;0,6;0,85;
185;;;;;;Установка снятия краски;0,65;0,85;
186;;;;;;Установка узг.промывки плат;0,7;0,85;
187;;;;;;Линия химической металлизации;0,6;0,8;
188;;;;;;Установка печати;0,5;0,7;
189;;;;;;Выпрямители дя зарядной;0,5;0,8;
190;;;;Сборочное оборудование;;;;;
191;;;;;;Аппарат А М;0,7;0,85;
192;;;;;;Приводы;0,7;0,85;
193;;;;;;Оборудование по подготовки проводов, кабелей;0,7;0,85;
194;;;;;;Оборудование по подготовки микросхем;0,7;0,85;
195;;;;;;Стенды;0,7;0,85;
196;;;;;;Термобарокамера;0,7;0,85;
197;;;;;;Контрольно-испытательное оборудование;0,7;0,85;
198;;;;;;Оборудование автоматизированной сборки плат;0,7;0,85;
199;;;;;;Оборудование автоматизированной пайки плат;0,7;0,85;
200;;;;;;Оборудование намоточное;0,7;0,85;
201;;;;;;Оборудование пропитки и заливки;0,7;0,85;
202;;;;;;Прессы;0,17;0,65;
203;;;;;;Станки;0,12;0,4;
204;;;;Испытательное оборудование;;;;;
205;;;;;;Приборы;0,3;0,8;
206;;;;;;Стенды;0,5 - 0,85;0,85;
207;;;;;;Машины для статических испытаний;0,7;0,85;
208;;;;;;Электроинструмент;0,06;0,5;
209;;;;;;Лабораторные приборы;0,5;0,9;
210;;;;;;Стол с подсветом;0,6;1;
211;;;;;;Щиты автоматики;1;1;
212;;;;Общезаводские установки;;;;;
213;;;;;;Электроосвещение;0,95;0,95;
214;;;;;;Вычислительные комплексы при числе 3 и более;0,85;0,8;
215;;1.4.Нефтеная и нефтеперерабатывающая промышленость;;;;;Ки;cosfi;
216;;;;Нефтепромыслы;;;;;
217;;;;;;Электропогружные насосы мощностью до 35 кВт;0,95;0,7;
218;;;;;;Электропогружные насосы мощностью свыше 35 кВт;0,8;0,75;
219;;;;;;Станки-качалки высоко и средне-битные скважин (свыше 10т/сутки);0,35;0,4;
220;;;;;;Станки-качалки низкодебитных скважин (менее 10т/сутки);0,25;0,35;
221;;;;;;Насосы перекачки невти со сборных пунктов на товарные парки;0,4;0,85;
222;;;;;;Насосы перекачки невти с товарных парков потребителю;0,7;0,8;
223;;;;;;Насосы подачи воды для нужд законтурного обводнения;0,7;0,85;
224;;;;;;Насосы подачи воды в пласт;0,75;0,9;
225;;;;;;Прочее электрооборудование 0,4 кВ;0,7;0,7;
226;;;;Нефтепереработка;;;;;
227;;;;;а).Каталический риформинг:;;;;
228;;;;;;Насосы;0,88;0,9;
229;;;;;;Вентиляторы;0,78;0,71;
230;;;;;;Газовые компресоры;0,61;0,94;
231;;;;;;Воздуходувки, газодувки;0,7;0,81;
232;;;;;б).Деасфальтизация:;;;;
233;;;;;;Насосы;0,78;0,89;
234;;;;;;Вентиляторы;0,5;0,72;
235;;;;;;Газовые компресоры;0,47;0,8;
236;;;;;в).Депарафинизация:;;;;
237;;;;;;Насосы;0,85;0,9;
238;;;;;;Вентиляторы;0,58;0,67;
239;;;;;;Газовые компресоры;0,73;0,93;
240;;;;;г).Селективная очистка:;;;;
241;;;;;;Насосы;0,81;0,85;
242;;;;;;Вентиляторы;0,66;0,69;
243;;;;;д).Измельчение суматорных ксилолов;;;;
244;;;;;;Насосы;0,62;0,87;
245;;;;;;Вентиляторы;0,63;0,7;
246;;1.5.Электротехническая промышленность;;;;;Ки;cosfi;
247;;;;Специальное технологическое оборудование;;;;;
248;;;;;;Барабаны смесительные и сушительные скруберы;0,6 - 0,7;;
249;;;;;;Электромагнитный сипараторы индивидуальные;0,4;;
250;;;;;;Двигатель-генераторы ;0,7;;
251;;;;;;Электровибрационные машины;0,8;;
252;;;;;;Кузнечные машины (механизмы кузнечных цехов);0,25 - 0,35;;
253;;;;;;Литейные машины, очистные и кантовочные барабаны, бегуны, шаровые мельницы и.т.п;0,3;;
254;;;;Оборудование электролампового производства;;;;;
255;;;;;;Заварочные откачные автомашины;0,4 - 0,6;;
256;;;;;;Откачные посты (стенды);0,4 - 0,5;;
257;;;;;;Автоматы для спекания штабиков (вольфрама, молибдена, тантала и.т.п);0,4;;
258;;;;;;Сварочные автоматы;0,1 - 0,2;;
259;;;;;;Высокочастотный генератор;0,3 - 0,5;;
260;;;;;;Вакуум-пропиточные установки;0,4;;
261;;;;Оборудование испытательных станций;;;;;
262;;;;;;Двигатель-генератор сетевой мощностью до 25 кВт;0,6 - 0,7;;
263;;;;;;Двигатель-генератор сетевой мощностью от 25 до 100 кВт;0,5 - 0,65;;
264;;;;;;Двигатель-генератор сетевой мощностью свыше 100 кВт;0,25 - 0,3;;
265;;;;;;Двигатель-генератор для индивидуального питания стендов до 25 кВт;0,3 - 0,5;;
266;;;;;;Двигатель-генератор для индивидуального питания стендов от 25 до 100 кВт;0,25 - 0,1;;
267;;;;;;Двигатель-генератор для индивидуального питания стендов свыше 100 кВт;0,25 - 0,2;;
268;;;;;;Индукционные регуляторы сетевые;0,5 - 0,6;;
269;;;;;;То же индивидуальные;0,2;;
270;;;;;;Выпрямители полупроводниковые;0,4;;
271;;;;;;То же ртутные;нет;;
272;;;;;;Автотрансформаторы индивидуальные;0,2;;
273;;;;;;То же сетевые;0,6;;
274;;;;;;Трансформаторы индивидуальные;0,15;;
275;;;;;;То же сетевые;0,6;;
276;;;;;;Тренировочные стенды;0,6;;
277;;;;;;Установка для испытаний на пробой;0,1;;
278;;;;;;Лабораторное оборудование;0,25;;
279;;;;Испытательные стенды для бытового электрооборудования;;;;;
280;;;;;;То же для полупроводниковых вентилей;;;
281;;;;;;Испытательные стенды для крупныхизделий;;;
282;;;;;;Вибростенды;;;
283;;;;;;Камеры испытательные;;;
284;;;;;;Камеры климатических испытаний;;;
285;;;;;;То же полкпроводникового производства;;;
286;;;;Металлорежужие станки;;;;;
287;;;;;;Металорежащие станки мелкосерийного производства с нормальном режимом работы: ;;;
288;;;;;;мелкие токарные, строгальные, долбежные фрезерные,светлийные, карусельные точильные, ножницы листовые, сортовые, фасонные,скрапные, арматурные;0,14;;
289;;;;;;То же при крупносерийном производстве с нормальном режимом работы;0,17;;
290;;;;;;Металорежущие станки мелкосерийного производства с особо тяжелым режимом работы, а так же привода молотков, ковочных машин, волочильных станков и.т.п;0,2 - 0,24;;
291;;;;Сварочное оборудование;;;;;
292;;;;;;Сварочные трансформаторы для ручной дуговой сварки ;0,35;;
293;;;;;;Сварочные трансформаторы для автоматической дуговой сварки;0,5;;
294;;;;;;Однопостовые сварочные дизели-генераторы;0,3;;
295;;;;;;Сварочные машины (нагреватели заклепок);0,35;;
296;;;;Электрические печи;;;;;
297;;;;;;Сушильные камеры периодического действия;0,55;;
298;;;;;;Стекольные печи для плавки кварцевого стекла;0,75;;
299;;;;;;Высокочастотные печи для вытяжки кварцевых трубок;0,8;;
300;;;;;;Печи сопротивления с непрерывной загрузкой, конвеерные, толкательные;;;
301;;;;;;Печи сопротивления с периодической загрузкой;0,6;;
302;;;;;;Нагревательные аппараты;0,6;;
303;;;;;;Сушильные шкафы;0,75;;
304;;;;Механизмы непрерывного транспорта;;;;;
305;;;;;;Элеватторы ковшовые, вертикальные и наклонные, шнеки конвееры и.т.п несбалансированные;0,4;;
306;;;;;;То же сбалонсированные;0,55;;
307;;;;;;Питатели пластинчатые, барабанные, дисковые и.т.п;0,3 - 0,4;;
308;;;;;;Конвееры легкие мощностью до 10 кВт;0,4 - 0,5;;
309;;;;;;То же свыше 10 кВт;;;
